lambda,N0,experiment
1,6.02481918836379,Continuous
0.991452623463735,11.8831607071075,Continuous
0.702307493269761,5.86822649227094,Continuous
0.0359184075781794,4.48860995067114,Continuous
1,9.06581021959327,Continuous
0.0573887440313218,6.7272214736589,Continuous
0.539557383031123,10.6602192322258,Continuous
1,8.27524394268025,Continuous
0.249771006734605,1.44226045974172,Continuous
0.361065437628404,0,Continuous
0.682960593086205,5.18750804930155,Continuous
0.0153769477263053,6.33276360883727,Continuous
1,9.36376042232014,Continuous
0.21669917579935,13.1479059078892,Continuous
0.696994590398615,11.4574231400133,Continuous
1,1.55251776786851,Continuous
1,3.4367280007349,Continuous
0.0754833139630209,9.55950286916897,Continuous
0.0241310779717227,8.3976465486513,Continuous
0.0760353114722185,4.396765231808,Continuous
0.0155460520203207,9.06096563264332,Continuous
0.197731384365758,7.2674042923204,Continuous
0.0930203272449865,11.2948765047863,Continuous
1,5.38865748109538,Continuous
0.143445102294046,3.21056308038245,Continuous
0.0541052680650699,11.8495729050358,Continuous
1,11.8232048126672,Continuous
1,11.7651932102018,Continuous
0.236257072313101,2.17007084346685,Continuous
0.569487138160479,10.8636561193099,Continuous
0.721147303154927,6.64022600360159,Continuous
0.747672937481151,5.98125248592296,Continuous
0.208000763189014,6.42043852903108,Terminal
0.335597153078144,11.5308687949558,Terminal
0.0951188510357787,22.8285881957238,Terminal
0.0892916407526978,5.04808699246327,Terminal
0.0105074278490397,8.3220479340794,Terminal
0.00325097104846572,5.83576513722418,Terminal
0.510209575845475,5.09344829603262,Terminal
0.0251239573002541,5.77353691146704,Terminal
0.119194401412531,9.85606516426083,Terminal
0.0985648900686804,6.32024991823283,Terminal
0.0055393513353289,11.4576714756108,Terminal
0.0177749856943493,18.393325506337,Terminal
0.0052605698609536,11.9043859253927,Terminal
0.462927337354397,7.4360536355746,Terminal
0.755372643829801,3.91140378314391,Terminal
0.0699078715108017,6.00575072926358,Terminal
0.186918797577132,5.02474298247614,Terminal
0.635027070378259,1.81393413017879,Terminal
1,5.78067765474673,Terminal
0.00440051265600541,15.7177292499299,Terminal
0.266963596532976,4.13287186632681,Terminal
0.314611054312109,10.0167001175628,Terminal
0.105034517713738,8.96864990085837,Terminal
0.0507664075355584,10.3877486675204,Terminal
0.057314764752811,1.59837845582236,Terminal
0.0132524349852175,4.62729480946799,Terminal
1,0.67262826941477,Terminal
1,1.89931504468198,Terminal
0.0398940498577273,11.2571706632108,Terminal
0.662521084125837,8.30827866201301,Terminal
0.792341283941038,6.62040686668742,Terminal
0.968783700984841,7.20733139951136,Terminal
1,14.3575853620766,Exposure
0.234565827526671,11.4695267863554,Exposure
0.508268056339446,13.7635584948598,Exposure
1,4.77963428701786,Exposure
1,4.80595339789311,Exposure
0.883280295872356,2.12966439205608,Exposure
0.43301407664108,0,Exposure
0,0,Exposure
0.876822437598981,4.71854689269182,Exposure
0.141464943764136,11.5605350320216,Exposure
1,2.08039437009666,Exposure
0.420105343514871,4.86291603801368,Exposure
0.619831571254583,8.06366840211783,Exposure
0.027487222586734,3.50938680160215,Exposure
0.233411859883951,0,Exposure
1,1.72159525667493,Exposure
0.0124583680448888,4.77626400474977,Exposure
0.727262764910344,7.099262377361,Exposure
0.467426972874699,3.32330174209452,Exposure
1,13.6121228500648,Exposure
0.0338119752453879,9.0771492471288,Exposure
1,1.97446801956352,Exposure
0.175729837209678,3.44011886585124,Exposure
1,1.04386109119995,Exposure
0.446325069780446,2.98397052879032,Exposure
0.00592505339934919,7.46355214488767,Exposure
1,3.1252771092204,Exposure
0.0471225687933748,5.49575540054682,Exposure
0.00596138465395269,25.3277707396751,Exposure
1,10.763036756728,Exposure
0.240311859074973,1.67395625722905,Exposure
1,3.40228355240808,Exposure
