group,signal,phase,lambda,lambda_025,lambda_500,lambda_975,N0,N0_025,N0_500,N0_975
passive,localization,main,1,0.28577108704038,0.920033853457934,1,6.88276995310764,6.0088738335134,7.0932955575166,8.06246201787785
passive,localization,reversal,0.433370487620616,0.139258309816237,0.318680785409509,0.584128358860885,NA,13.7618198972936,13.7618198972936,13.7618198972936
passive,slowprocess,main,0.0347558469943053,0.0299331068043466,0.0345813678937259,0.0409189520971354,25.1834054546881,22.5874192987961,25.2651627913589,27.1887013595509
passive,slowprocess,reversal,0.0446631102331368,0.0393849126628185,0.044807099901163,0.0523739319653809,NA,50.3668109093762,50.3668109093762,50.3668109093762
passive,reaches,main,0.2702831968981,0.208677374773621,0.265105808808675,0.3288954247515,28.5633038452078,27.8207908328182,28.6316226827516,29.2276933886357
passive,reaches,reversal,0.125974855305708,0.107446878920609,0.127449849717567,0.155319784984479,NA,57.1266076904155,57.1266076904155,57.1266076904155
terminal,localization,main,0.435087522708348,0.0750709103922533,0.429829491303089,1,6.31831941224908,5.18674981427146,6.14184644147445,7.78107823116395
terminal,localization,reversal,0.156880424219325,0.072484615791926,0.140070188660158,0.574094208845496,NA,12.6386590606996,12.6386590606996,12.6386590606996
terminal,slowprocess,main,0.0335308007672395,0.0302690751621959,0.0330718495734275,0.0368119883134909,25.3490447887107,23.1697145982928,25.286072170985,27.2293573316009
terminal,slowprocess,reversal,0.0418469843825377,0.035359332124607,0.041103286378273,0.0467593735417013,NA,50.6980895774214,50.6980895774214,50.6980895774214
terminal,reaches,main,0.142002311019668,0.100502884990808,0.143927773405794,0.201075194798768,27.7397451873475,26.1011420642747,27.588235670709,29.6755724920528
terminal,reaches,reversal,0.170061712610554,0.112165742002648,0.167732849396627,0.28024986353165,NA,55.4794903746951,55.4794903746951,55.4794903746951
exposure,localization,main,0.6927653044532,0.478088104578462,1,1,5.18078312160618,3.87053898771504,5.21440879063943,6.44166932643627
exposure,localization,reversal,0.149831976473376,0.0805636428979647,0.150380710270017,0.845816049568369,NA,10.3466606947472,10.3466606947472,10.3466606947472
